UserID,SignupDate,EmailVerifiedDate,AppInstalledDate,FirstLoginDate,FirstValueDate,TTFV_Hours,SignupWeek
19,2024-05-09,2024-05-09 09:00:00,2024-05-09 22:00:00,2024-05-10 17:00:00,2024-05-13 01:00:00,97.0,2024-05-06
20,2024-06-03,2024-06-03 21:00:00,2024-06-05 06:00:00,,,,2024-06-03
21,2024-01-07,2024-01-07 03:00:00,2024-01-08 11:00:00,2024-01-08 23:00:00,2024-01-11 04:00:00,100.0,2024-01-01
22,2024-05-23,2024-05-23 11:00:00,2024-05-24 09:00:00,,,,2024-05-20
23,2024-02-20,2024-02-20 22:00:00,2024-02-21 06:00:00,2024-02-21 12:00:00,,,2024-02-19
24,2024-06-15,2024-06-15 11:00:00,2024-06-16 15:00:00,,,,2024-06-10
25,2024-06-28,2024-06-28 23:00:00,2024-06-30 08:00:00,2024-06-30 18:00:00,,,2024-06-24
26,2024-05-19,2024-05-19 22:00:00,2024-05-21 01:00:00,2024-05-21 19:00:00,2024-05-22 00:00:00,72.0,2024-05-13
27,2024-04-17,2024-04-17 15:00:00,2024-04-17 22:00:00,2024-04-18 09:00:00,,,2024-04-15
28,2024-02-26,2024-02-26 09:00:00,2024-02-27 07:00:00,,,,2024-02-26
29,2024-04-24,2024-04-24 04:00:00,2024-04-25 07:00:00,,,,2024-04-22
30,2024-05-30,2024-05-30 17:00:00,2024-05-30 19:00:00,2024-05-31 17:00:00,2024-06-03 15:00:00,111.0,2024-05-27
31,2024-03-12,2024-03-12 15:00:00,2024-03-13 19:00:00,2024-03-13 21:00:00,2024-03-14 22:00:00,70.0,2024-03-11
32,2024-01-02,2024-01-02 17:00:00,,,,,2024-01-01
33,2024-02-10,2024-02-10 12:00:00,2024-02-12 05:00:00,,,,2024-02-05
34,2024-06-27,2024-06-27 16:00:00,2024-06-29 10:00:00,2024-06-30 01:00:00,2024-06-30 08:00:00,80.0,2024-06-24
35,2024-04-18,,,,,,2024-04-15
36,2024-03-28,2024-03-28 07:00:00,2024-03-29 02:00:00,,,,2024-03-25
37,2024-03-12,2024-03-12 18:00:00,2024-03-13 04:00:00,,,,2024-03-11
38,2024-02-09,2024-02-09 10:00:00,,,,,2024-02-05
39,2024-02-25,2024-02-25 15:00:00,2024-02-27 13:00:00,2024-02-28 05:00:00,2024-02-28 21:00:00,93.0,2024-02-19
40,2024-03-27,2024-03-27 01:00:00,,,,,2024-03-25
41,2024-01-27,2024-01-27 21:00:00,2024-01-29 13:00:00,2024-01-29 21:00:00,2024-01-30 18:00:00,90.0,2024-01-22
42,2024-01-24,2024-01-24 10:00:00,2024-01-25 23:00:00,2024-01-26 00:00:00,,,2024-01-22
43,2024-04-07,2024-04-07 18:00:00,2024-04-08 22:00:00,,,,2024-04-01
44,2024-01-25,2024-01-25 03:00:00,,,,,2024-01-22
45,2024-04-01,,,,,,2024-04-01
46,2024-03-29,2024-03-29 08:00:00,2024-03-29 17:00:00,2024-03-30 08:00:00,2024-03-31 00:00:00,48.0,2024-03-25
47,2024-06-03,2024-06-03 21:00:00,2024-06-04 08:00:00,2024-06-05 00:00:00,2024-06-06 14:00:00,86.0,2024-06-03
48,2024-03-08,2024-03-08 17:00:00,,,,,2024-03-04
49,2024-01-12,2024-01-12 23:00:00,2024-01-13 18:00:00,2024-01-14 08:00:00,,,2024-01-08
50,2024-04-27,2024-04-27 16:00:00,2024-04-29 00:00:00,,,,2024-04-22
51,2024-05-17,2024-05-17 08:00:00,2024-05-18 15:00:00,2024-05-19 09:00:00,,,2024-05-13
52,2024-02-01,2024-02-01 05:00:00,2024-02-02 07:00:00,2024-02-02 14:00:00,,,2024-01-29
53,2024-04-06,2024-04-06 20:00:00,2024-04-08 06:00:00,2024-04-09 06:00:00,2024-04-10 00:00:00,96.0,2024-04-01
54,2024-01-21,2024-01-21 03:00:00,2024-01-21 22:00:00,2024-01-22 12:00:00,2024-01-24 08:00:00,80.0,2024-01-15
55,2024-05-21,2024-05-21 17:00:00,2024-05-22 12:00:00,2024-05-22 13:00:00,2024-05-24 02:00:00,74.0,2024-05-20
56,2024-03-16,,,,,,2024-03-11
57,2024-06-09,2024-06-10 00:00:00,2024-06-10 21:00:00,2024-06-11 16:00:00,,,2024-06-03
58,2024-06-07,2024-06-07 19:00:00,2024-06-09 15:00:00,2024-06-10 07:00:00,,,2024-06-03
59,2024-04-02,2024-04-02 05:00:00,2024-04-03 11:00:00,2024-04-04 05:00:00,2024-04-06 19:00:00,115.0,2024-04-01
60,2024-05-27,2024-05-27 12:00:00,,,,,2024-05-27
61,2024-02-19,2024-02-19 11:00:00,2024-02-21 00:00:00,2024-02-21 18:00:00,,,2024-02-19
62,2024-06-29,2024-06-29 13:00:00,,,,,2024-06-24
63,2024-01-18,2024-01-18 15:00:00,2024-01-19 13:00:00,2024-01-19 20:00:00,2024-01-21 03:00:00,75.0,2024-01-15
64,2024-01-12,2024-01-12 19:00:00,2024-01-13 21:00:00,2024-01-14 05:00:00,2024-01-16 10:00:00,106.0,2024-01-08
65,2024-06-18,2024-06-18 02:00:00,2024-06-19 00:00:00,2024-06-20 00:00:00,2024-06-22 13:00:00,109.0,2024-06-17
66,2024-02-28,2024-02-28 23:00:00,2024-03-01 01:00:00,2024-03-01 14:00:00,,,2024-02-26
67,2024-03-15,2024-03-15 22:00:00,2024-03-17 17:00:00,,,,2024-03-11
68,2024-01-21,2024-01-21 05:00:00,,,,,2024-01-15
69,2024-02-29,2024-02-29 16:00:00,2024-02-29 20:00:00,2024-03-01 01:00:00,2024-03-03 18:00:00,90.0,2024-02-26
70,2024-01-26,2024-01-26 19:00:00,2024-01-27 18:00:00,,,,2024-01-22
71,2024-04-07,2024-04-07 04:00:00,,,,,2024-04-01
72,2024-03-12,2024-03-12 15:00:00,,,,,2024-03-11
73,2024-04-26,2024-04-26 04:00:00,2024-04-27 15:00:00,2024-04-28 06:00:00,2024-04-28 08:00:00,56.0,2024-04-22
74,2024-06-11,2024-06-12 00:00:00,2024-06-12 11:00:00,2024-06-13 01:00:00,,,2024-06-10
75,2024-04-03,2024-04-03 21:00:00,,,,,2024-04-01
76,2024-02-11,,,,,,2024-02-05
77,2024-04-04,,,,,,2024-04-01
78,2024-03-31,2024-03-31 05:00:00,2024-03-31 11:00:00,,,,2024-03-25
79,2024-02-23,2024-02-23 16:00:00,,,,,2024-02-19
80,2024-06-20,,,,,,2024-06-17
81,2024-03-09,2024-03-09 09:00:00,2024-03-10 08:00:00,2024-03-11 04:00:00,,,2024-03-04
82,2024-06-28,2024-06-28 23:00:00,2024-06-30 02:00:00,2024-06-30 23:00:00,,,2024-06-24
83,2024-06-23,2024-06-23 03:00:00,2024-06-24 02:00:00,2024-06-25 00:00:00,,,2024-06-17
84,2024-06-14,,,,,,2024-06-10
85,2024-01-19,2024-01-19 18:00:00,2024-01-20 20:00:00,,,,2024-01-15
86,2024-06-04,2024-06-04 11:00:00,2024-06-06 05:00:00,,,,2024-06-03
87,2024-06-11,2024-06-11 23:00:00,2024-06-13 08:00:00,,,,2024-06-10
88,2024-02-13,2024-02-13 18:00:00,,,,,2024-02-12
89,2024-05-16,,,,,,2024-05-13
90,2024-03-03,2024-03-03 02:00:00,2024-03-04 19:00:00,,,,2024-02-26
91,2024-02-11,2024-02-11 03:00:00,2024-02-11 20:00:00,,,,2024-02-05
92,2024-04-28,2024-04-28 21:00:00,2024-04-30 18:00:00,2024-05-01 04:00:00,2024-05-02 10:00:00,106.0,2024-04-22
93,2024-04-07,2024-04-08 00:00:00,2024-04-08 07:00:00,2024-04-08 21:00:00,2024-04-09 10:00:00,58.0,2024-04-01
94,2024-03-10,2024-03-10 21:00:00,2024-03-12 20:00:00,2024-03-13 00:00:00,2024-03-15 09:00:00,129.0,2024-03-04
95,2024-06-12,2024-06-12 06:00:00,2024-06-14 04:00:00,2024-06-14 14:00:00,2024-06-14 18:00:00,66.0,2024-06-10
96,2024-06-25,2024-06-25 02:00:00,2024-06-26 00:00:00,2024-06-26 02:00:00,2024-06-27 16:00:00,64.0,2024-06-24
97,2024-05-22,2024-05-22 12:00:00,2024-05-23 13:00:00,2024-05-24 03:00:00,,,2024-05-20
98,2024-02-26,2024-02-26 05:00:00,,,,,2024-02-26
99,2024-06-24,2024-06-24 08:00:00,2024-06-25 19:00:00,,,,2024-06-24
100,2024-03-24,2024-03-24 14:00:00,2024-03-26 04:00:00,2024-03-27 02:00:00,2024-03-28 02:00:00,98.0,2024-03-18
101,2024-01-15,,,,,,2024-01-15
102,2024-02-28,2024-02-28 06:00:00,2024-02-28 19:00:00,2024-02-28 22:00:00,2024-03-01 23:00:00,71.0,2024-02-26
103,2024-01-09,2024-01-09 20:00:00,2024-01-11 17:00:00,2024-01-12 01:00:00,,,2024-01-08
104,2024-03-21,2024-03-21 16:00:00,2024-03-23 07:00:00,,,,2024-03-18
105,2024-04-12,2024-04-12 05:00:00,2024-04-12 21:00:00,2024-04-13 12:00:00,2024-04-14 21:00:00,69.0,2024-04-08
106,2024-03-09,2024-03-09 15:00:00,2024-03-10 09:00:00,,,,2024-03-04
107,2024-01-17,2024-01-17 22:00:00,2024-01-18 00:00:00,2024-01-18 15:00:00,2024-01-20 04:00:00,76.0,2024-01-15
108,2024-02-24,2024-02-24 22:00:00,2024-02-26 10:00:00,2024-02-26 16:00:00,2024-02-27 02:00:00,74.0,2024-02-19
109,2024-05-25,2024-05-25 15:00:00,2024-05-26 15:00:00,2024-05-27 10:00:00,2024-05-29 01:00:00,97.0,2024-05-20
110,2024-03-21,2024-03-21 21:00:00,2024-03-23 02:00:00,2024-03-24 01:00:00,2024-03-25 10:00:00,106.0,2024-03-18
111,2024-02-24,2024-02-24 15:00:00,2024-02-25 12:00:00,2024-02-25 19:00:00,,,2024-02-19
112,2024-06-16,2024-06-16 13:00:00,2024-06-17 21:00:00,2024-06-18 01:00:00,,,2024-06-10
113,2024-05-07,2024-05-07 08:00:00,2024-05-08 10:00:00,,,,2024-05-06
114,2024-04-11,2024-04-11 19:00:00,2024-04-12 19:00:00,2024-04-13 14:00:00,2024-04-15 04:00:00,100.0,2024-04-08
115,2024-06-13,2024-06-13 23:00:00,,,,,2024-06-10
116,2024-04-27,2024-04-27 10:00:00,,,,,2024-04-22
117,2024-02-06,,,,,,2024-02-05
118,2024-03-08,2024-03-08 01:00:00,2024-03-09 21:00:00,2024-03-10 10:00:00,2024-03-11 22:00:00,94.0,2024-03-04
119,2024-02-05,2024-02-05 01:00:00,2024-02-06 15:00:00,2024-02-07 13:00:00,2024-02-07 20:00:00,68.0,2024-02-05
120,2024-03-04,2024-03-04 20:00:00,2024-03-06 05:00:00,,,,2024-03-04
121,2024-05-23,2024-05-23 10:00:00,2024-05-24 02:00:00,2024-05-24 22:00:00,,,2024-05-20
122,2024-05-17,2024-05-17 12:00:00,2024-05-18 04:00:00,,,,2024-05-13
123,2024-03-08,2024-03-08 21:00:00,2024-03-09 11:00:00,,,,2024-03-04
124,2024-05-29,2024-05-29 20:00:00,,,,,2024-05-27
125,2024-04-19,2024-04-19 09:00:00,2024-04-21 06:00:00,,,,2024-04-15
126,2024-05-29,2024-05-30 00:00:00,,,,,2024-05-27
127,2024-04-12,2024-04-12 22:00:00,2024-04-14 19:00:00,,,,2024-04-08
128,2024-04-02,2024-04-02 05:00:00,2024-04-03 23:00:00,,,,2024-04-01
129,2024-02-26,2024-02-26 04:00:00,,,,,2024-02-26
130,2024-02-05,2024-02-05 21:00:00,,,,,2024-02-05
131,2024-05-10,2024-05-10 21:00:00,2024-05-11 01:00:00,,,,2024-05-06
132,2024-05-06,2024-05-06 10:00:00,2024-05-07 16:00:00,,,,2024-05-06
133,2024-01-24,,,,,,2024-01-22
134,2024-01-13,2024-01-13 02:00:00,2024-01-14 17:00:00,2024-01-15 05:00:00,2024-01-15 22:00:00,70.0,2024-01-08
135,2024-01-29,2024-01-29 03:00:00,2024-01-29 23:00:00,,,,2024-01-29
136,2024-02-09,2024-02-09 11:00:00,,,,,2024-02-05
137,2024-06-09,2024-06-10 00:00:00,2024-06-11 04:00:00,2024-06-11 10:00:00,2024-06-12 12:00:00,84.0,2024-06-03
138,2024-02-10,2024-02-10 05:00:00,,,,,2024-02-05
139,2024-06-23,2024-06-23 18:00:00,2024-06-24 19:00:00,2024-06-25 12:00:00,,,2024-06-17
140,2024-04-18,2024-04-18 17:00:00,2024-04-19 12:00:00,2024-04-19 18:00:00,,,2024-04-15
141,2024-06-01,2024-06-01 09:00:00,,,,,2024-05-27
142,2024-01-17,2024-01-17 16:00:00,2024-01-18 12:00:00,2024-01-19 12:00:00,,,2024-01-15
143,2024-04-08,2024-04-08 11:00:00,2024-04-08 20:00:00,,,,2024-04-08
144,2024-04-07,,,,,,2024-04-01
145,2024-06-01,,,,,,2024-05-27
146,2024-04-29,2024-04-29 15:00:00,2024-04-29 21:00:00,2024-04-30 02:00:00,,,2024-04-29
147,2024-05-15,2024-05-15 08:00:00,2024-05-17 05:00:00,,,,2024-05-13
148,2024-03-05,2024-03-06 00:00:00,2024-03-07 21:00:00,2024-03-08 10:00:00,2024-03-11 10:00:00,154.0,2024-03-04
149,2024-05-21,2024-05-21 12:00:00,2024-05-21 19:00:00,2024-05-22 08:00:00,,,2024-05-20
150,2024-01-03,2024-01-03 01:00:00,2024-01-03 19:00:00,,,,2024-01-01
151,2024-06-23,2024-06-23 18:00:00,2024-06-24 03:00:00,,,,2024-06-17
152,2024-01-30,2024-01-30 15:00:00,,,,,2024-01-29
153,2024-06-23,2024-06-23 12:00:00,,,,,2024-06-17
154,2024-05-17,2024-05-17 22:00:00,,,,,2024-05-13
155,2024-03-09,2024-03-10 00:00:00,,,,,2024-03-04
156,2024-06-13,2024-06-13 22:00:00,2024-06-14 16:00:00,,,,2024-06-10
157,2024-03-28,2024-03-28 19:00:00,2024-03-29 21:00:00,2024-03-30 18:00:00,2024-04-01 18:00:00,114.0,2024-03-25
158,2024-01-29,2024-01-29 04:00:00,2024-01-31 01:00:00,,,,2024-01-29
159,2024-03-16,2024-03-16 08:00:00,2024-03-17 16:00:00,,,,2024-03-11
160,2024-04-21,2024-04-21 01:00:00,2024-04-22 18:00:00,2024-04-23 12:00:00,2024-04-25 06:00:00,102.0,2024-04-15
161,2024-02-10,2024-02-10 20:00:00,2024-02-11 12:00:00,2024-02-12 09:00:00,2024-02-12 18:00:00,66.0,2024-02-05
162,2024-04-26,2024-04-26 21:00:00,,,,,2024-04-22
163,2024-01-01,,,,,,2024-01-01
164,2024-03-08,2024-03-08 15:00:00,2024-03-10 13:00:00,2024-03-10 23:00:00,,,2024-03-04
165,2024-05-08,2024-05-08 21:00:00,2024-05-10 01:00:00,,,,2024-05-06
166,2024-02-15,2024-02-15 04:00:00,,,,,2024-02-12
167,2024-05-09,2024-05-09 05:00:00,2024-05-09 09:00:00,2024-05-09 11:00:00,,,2024-05-06
168,2024-01-28,2024-01-28 10:00:00,2024-01-29 19:00:00,2024-01-29 23:00:00,2024-01-30 12:00:00,60.0,2024-01-22
169,2024-06-09,2024-06-09 08:00:00,,,,,2024-06-03
170,2024-03-17,2024-03-17 18:00:00,2024-03-18 04:00:00,2024-03-18 17:00:00,,,2024-03-11
171,2024-06-12,2024-06-12 15:00:00,,,,,2024-06-10
172,2024-05-09,2024-05-09 12:00:00,2024-05-11 08:00:00,2024-05-12 08:00:00,2024-05-15 06:00:00,150.0,2024-05-06
173,2024-06-04,2024-06-04 14:00:00,,,,,2024-06-03
174,2024-02-20,,,,,,2024-02-19
175,2024-02-09,,,,,,2024-02-05
176,2024-04-05,2024-04-05 19:00:00,,,,,2024-04-01
177,2024-02-11,,,,,,2024-02-05
178,2024-05-18,2024-05-19 00:00:00,2024-05-21 00:00:00,2024-05-21 05:00:00,2024-05-23 11:00:00,131.0,2024-05-13
179,2024-05-15,,,,,,2024-05-13
180,2024-01-01,2024-01-01 21:00:00,2024-01-02 05:00:00,2024-01-02 21:00:00,,,2024-01-01
181,2024-06-02,2024-06-02 20:00:00,2024-06-04 00:00:00,2024-06-04 09:00:00,2024-06-04 14:00:00,62.0,2024-05-27
182,2024-03-23,2024-03-23 23:00:00,2024-03-25 00:00:00,,,,2024-03-18
183,2024-05-05,2024-05-05 07:00:00,2024-05-06 13:00:00,,,,2024-04-29
184,2024-01-05,2024-01-05 15:00:00,2024-01-06 08:00:00,2024-01-06 20:00:00,,,2024-01-01
185,2024-01-29,2024-01-29 04:00:00,2024-01-31 01:00:00,2024-01-31 13:00:00,2024-02-03 11:00:00,131.0,2024-01-29
186,2024-04-02,2024-04-02 21:00:00,2024-04-03 21:00:00,2024-04-03 23:00:00,2024-04-06 02:00:00,98.0,2024-04-01
187,2024-03-19,2024-03-19 09:00:00,,,,,2024-03-18
188,2024-03-02,2024-03-02 07:00:00,2024-03-02 16:00:00,,,,2024-02-26
189,2024-01-15,2024-01-15 15:00:00,2024-01-15 22:00:00,,,,2024-01-15
190,2024-03-02,,,,,,2024-02-26
191,2024-05-25,2024-05-25 22:00:00,,,,,2024-05-20
192,2024-01-21,2024-01-21 07:00:00,2024-01-23 02:00:00,2024-01-23 23:00:00,,,2024-01-15
193,2024-01-22,2024-01-22 20:00:00,2024-01-22 23:00:00,2024-01-23 01:00:00,2024-01-24 20:00:00,68.0,2024-01-22
194,2024-05-04,2024-05-04 08:00:00,2024-05-04 18:00:00,2024-05-05 13:00:00,2024-05-06 16:00:00,64.0,2024-04-29
195,2024-01-18,2024-01-18 03:00:00,2024-01-19 16:00:00,2024-01-19 23:00:00,2024-01-21 03:00:00,75.0,2024-01-15
196,2024-05-16,2024-05-16 08:00:00,2024-05-17 07:00:00,2024-05-17 12:00:00,2024-05-17 13:00:00,37.0,2024-05-13
197,2024-02-02,2024-02-02 09:00:00,2024-02-02 20:00:00,2024-02-03 01:00:00,2024-02-05 23:00:00,95.0,2024-01-29
198,2024-02-02,2024-02-02 09:00:00,2024-02-02 22:00:00,2024-02-03 02:00:00,2024-02-03 06:00:00,30.0,2024-01-29
199,2024-06-17,2024-06-17 05:00:00,2024-06-17 07:00:00,2024-06-17 19:00:00,,,2024-06-17
200,2024-05-01,2024-05-01 08:00:00,,,,,2024-04-29
201,2024-05-20,2024-05-20 19:00:00,2024-05-21 17:00:00,,,,2024-05-20
202,2024-02-12,,,,,,2024-02-12
203,2024-03-08,2024-03-08 01:00:00,2024-03-08 14:00:00,,,,2024-03-04
204,2024-05-15,2024-05-15 09:00:00,2024-05-15 14:00:00,2024-05-15 19:00:00,2024-05-18 01:00:00,73.0,2024-05-13
205,2024-06-04,2024-06-04 17:00:00,2024-06-05 02:00:00,2024-06-06 02:00:00,2024-06-06 11:00:00,59.0,2024-06-03
206,2024-04-18,2024-04-18 16:00:00,2024-04-19 22:00:00,2024-04-20 10:00:00,,,2024-04-15
207,2024-02-24,2024-02-24 17:00:00,2024-02-26 08:00:00,2024-02-26 12:00:00,2024-02-28 22:00:00,118.0,2024-02-19
208,2024-05-18,2024-05-18 17:00:00,2024-05-19 09:00:00,2024-05-20 05:00:00,2024-05-20 11:00:00,59.0,2024-05-13
209,2024-06-25,2024-06-26 00:00:00,2024-06-27 20:00:00,2024-06-28 13:00:00,2024-06-30 04:00:00,124.0,2024-06-24
210,2024-02-21,2024-02-21 15:00:00,2024-02-23 10:00:00,,,,2024-02-19
211,2024-03-20,2024-03-20 01:00:00,2024-03-20 06:00:00,,,,2024-03-18
212,2024-04-12,2024-04-12 16:00:00,2024-04-13 19:00:00,2024-04-14 09:00:00,2024-04-14 23:00:00,71.0,2024-04-08
213,2024-06-20,2024-06-20 16:00:00,2024-06-22 15:00:00,2024-06-23 06:00:00,2024-06-23 16:00:00,88.0,2024-06-17
214,2024-06-15,2024-06-15 03:00:00,2024-06-16 01:00:00,2024-06-16 21:00:00,2024-06-17 16:00:00,64.0,2024-06-10
215,2024-04-05,,,,,,2024-04-01
216,2024-04-22,2024-04-22 03:00:00,2024-04-22 13:00:00,2024-04-22 22:00:00,2024-04-25 21:00:00,93.0,2024-04-22
217,2024-05-12,2024-05-12 23:00:00,2024-05-13 21:00:00,2024-05-14 10:00:00,2024-05-17 06:00:00,126.0,2024-05-06
218,2024-04-25,2024-04-25 10:00:00,,,,,2024-04-22
219,2024-01-31,2024-01-31 15:00:00,2024-02-02 01:00:00,2024-02-02 21:00:00,,,2024-01-29
220,2024-03-04,2024-03-04 14:00:00,2024-03-04 22:00:00,,,,2024-03-04
221,2024-02-27,2024-02-27 23:00:00,,,,,2024-02-26
222,2024-01-17,2024-01-17 04:00:00,2024-01-18 23:00:00,2024-01-19 20:00:00,,,2024-01-15
223,2024-03-27,2024-03-27 18:00:00,2024-03-29 18:00:00,2024-03-30 01:00:00,,,2024-03-25
224,2024-01-06,2024-01-06 14:00:00,2024-01-07 20:00:00,2024-01-08 04:00:00,2024-01-10 09:00:00,105.0,2024-01-01
225,2024-05-30,2024-05-30 11:00:00,2024-05-31 18:00:00,2024-06-01 07:00:00,2024-06-03 13:00:00,109.0,2024-05-27
226,2024-05-21,2024-05-22 00:00:00,2024-05-22 08:00:00,2024-05-22 19:00:00,2024-05-25 02:00:00,98.0,2024-05-20
227,2024-02-28,2024-02-28 11:00:00,2024-03-01 07:00:00,2024-03-01 16:00:00,2024-03-03 16:00:00,112.0,2024-02-26
228,2024-05-30,,,,,,2024-05-27
229,2024-02-26,2024-02-26 05:00:00,,,,,2024-02-26
230,2024-01-02,2024-01-02 22:00:00,2024-01-04 06:00:00,,,,2024-01-01
231,2024-01-19,2024-01-19 03:00:00,2024-01-19 10:00:00,2024-01-19 13:00:00,2024-01-20 01:00:00,25.0,2024-01-15
232,2024-06-30,,,,,,2024-06-24
233,2024-06-10,2024-06-10 14:00:00,,,,,2024-06-10
234,2024-01-16,2024-01-16 04:00:00,2024-01-17 05:00:00,,,,2024-01-15
235,2024-02-28,2024-02-28 05:00:00,2024-02-29 18:00:00,,,,2024-02-26
236,2024-01-18,2024-01-18 02:00:00,,,,,2024-01-15
237,2024-01-09,2024-01-09 19:00:00,,,,,2024-01-08
238,2024-03-25,2024-03-25 18:00:00,2024-03-27 07:00:00,2024-03-27 18:00:00,,,2024-03-25
239,2024-01-19,2024-01-19 22:00:00,2024-01-20 07:00:00,2024-01-20 21:00:00,,,2024-01-15
240,2024-05-11,2024-05-11 12:00:00,,,,,2024-05-06
241,2024-03-01,2024-03-01 22:00:00,2024-03-03 03:00:00,2024-03-04 03:00:00,2024-03-04 10:00:00,82.0,2024-02-26
242,2024-03-12,2024-03-12 10:00:00,2024-03-14 02:00:00,2024-03-14 12:00:00,,,2024-03-11
243,2024-06-20,2024-06-20 12:00:00,2024-06-20 20:00:00,,,,2024-06-17
244,2024-05-04,2024-05-04 19:00:00,2024-05-06 05:00:00,,,,2024-04-29
245,2024-02-24,2024-02-24 07:00:00,2024-02-24 18:00:00,2024-02-25 16:00:00,,,2024-02-19
246,2024-05-18,2024-05-18 16:00:00,2024-05-19 08:00:00,,,,2024-05-13
247,2024-02-03,2024-02-03 04:00:00,2024-02-04 04:00:00,2024-02-04 22:00:00,2024-02-06 22:00:00,94.0,2024-01-29
248,2024-05-26,2024-05-26 04:00:00,2024-05-26 23:00:00,2024-05-27 18:00:00,,,2024-05-20
249,2024-05-27,2024-05-27 08:00:00,2024-05-28 13:00:00,,,,2024-05-27
250,2024-05-01,2024-05-01 18:00:00,,,,,2024-04-29
251,2024-03-03,2024-03-03 20:00:00,2024-03-05 13:00:00,,,,2024-02-26
252,2024-05-01,2024-05-01 22:00:00,2024-05-03 17:00:00,,,,2024-04-29
253,2024-04-14,2024-04-14 18:00:00,2024-04-14 21:00:00,2024-04-15 17:00:00,2024-04-17 04:00:00,76.0,2024-04-08
254,2024-02-18,2024-02-18 01:00:00,2024-02-18 14:00:00,2024-02-18 23:00:00,,,2024-02-12
255,2024-01-25,2024-01-25 23:00:00,2024-01-26 20:00:00,2024-01-27 07:00:00,,,2024-01-22
256,2024-01-25,2024-01-25 12:00:00,2024-01-25 14:00:00,2024-01-25 20:00:00,,,2024-01-22
257,2024-06-17,2024-06-17 05:00:00,,,,,2024-06-17
258,2024-04-20,,,,,,2024-04-15
259,2024-03-31,2024-03-31 19:00:00,2024-04-02 15:00:00,,,,2024-03-25
260,2024-04-18,2024-04-18 13:00:00,2024-04-18 19:00:00,2024-04-19 00:00:00,,,2024-04-15
261,2024-04-15,2024-04-16 00:00:00,2024-04-17 18:00:00,,,,2024-04-15
262,2024-04-29,,,,,,2024-04-29
263,2024-01-14,2024-01-14 01:00:00,2024-01-14 08:00:00,,,,2024-01-08
264,2024-06-21,2024-06-22 00:00:00,2024-06-23 11:00:00,,,,2024-06-17
265,2024-06-16,2024-06-16 07:00:00,2024-06-17 09:00:00,2024-06-17 23:00:00,2024-06-20 10:00:00,106.0,2024-06-10
266,2024-06-14,2024-06-14 11:00:00,2024-06-14 23:00:00,,,,2024-06-10
267,2024-01-26,2024-01-26 12:00:00,2024-01-27 09:00:00,2024-01-28 09:00:00,2024-01-30 03:00:00,99.0,2024-01-22
268,2024-01-16,,,,,,2024-01-15
269,2024-04-13,2024-04-13 19:00:00,2024-04-15 11:00:00,,,,2024-04-08
270,2024-03-27,2024-03-27 03:00:00,2024-03-27 08:00:00,2024-03-27 13:00:00,2024-03-28 10:00:00,34.0,2024-03-25
271,2024-01-28,2024-01-28 20:00:00,2024-01-29 01:00:00,2024-01-29 23:00:00,,,2024-01-22
272,2024-03-04,2024-03-04 03:00:00,2024-03-04 22:00:00,2024-03-05 13:00:00,2024-03-07 20:00:00,92.0,2024-03-04
273,2024-02-19,2024-02-19 16:00:00,2024-02-21 08:00:00,,,,2024-02-19
274,2024-02-18,2024-02-18 15:00:00,2024-02-19 19:00:00,2024-02-20 04:00:00,,,2024-02-12
