Date,Service,Region,ActualCostUSD,ReservedInstance,UnderutilizedRI,ForecastedCostUSD
2024-01-14,EC2,us-east-1,41.45,False,False,41.09
2024-01-15,EBS,ap-southeast-1,36.31,False,False,41.33
2024-01-15,CloudFront,us-west-2,12.38,False,False,14.19
2024-01-15,Elastic Beanstalk,ap-southeast-1,56.55,False,False,53.32
2024-01-15,Elastic Beanstalk,us-east-1,34.4,False,False,36.21
2024-01-16,RDS,us-west-2,61.66,True,False,69.35
2024-01-16,CloudFront,ap-southeast-1,40.41,True,True,40.23
2024-01-16,CloudFront,us-east-1,70.55,True,False,78.37
2024-01-16,EBS,ap-southeast-1,33.31,True,False,20.21
2024-01-16,RDS,ap-southeast-1,64.62,False,False,68.73
2024-01-16,Lambda,us-east-1,38.61,False,False,39.05
2024-01-17,Elastic Beanstalk,ap-southeast-1,16.98,True,False,15.48
2024-01-17,DynamoDB,eu-west-1,20.48,True,True,20.94
2024-01-17,EBS,us-east-1,26.52,True,False,16.58
2024-01-18,DynamoDB,us-west-2,49.78,False,False,48.68
2024-01-18,Lambda,eu-west-1,7.31,True,False,9.1
2024-01-18,RDS,ap-southeast-1,63.43,True,False,70.82
2024-01-19,EBS,us-west-2,112.24,True,False,109.65
2024-01-19,RDS,ap-southeast-1,67.8,True,False,63.76
2024-01-19,Elastic Beanstalk,us-west-2,30.04,False,False,27.53
2024-01-19,RDS,us-east-1,29.81,False,False,34.39
2024-01-19,Elastic Beanstalk,us-east-1,5.84,True,True,7.48
2024-01-20,Lambda,ap-southeast-1,63.31,False,False,60.66
2024-01-20,RDS,ap-southeast-1,99.57,False,False,102.14
2024-01-20,RDS,ap-southeast-1,32.55,False,False,33.04
2024-01-20,Lambda,us-east-1,51.32,False,False,56.16
2024-01-21,Elastic Beanstalk,us-east-1,56.78,False,False,53.27
2024-01-21,Lambda,eu-west-1,32.55,True,True,30.91
2024-01-21,EC2,ap-southeast-1,48.64,False,False,46.68
2024-01-21,Lambda,us-west-2,37.81,False,False,30.49
2024-01-21,CloudFront,ap-southeast-1,50.23,True,False,51.71
2024-01-22,S3,us-east-1,80.99,False,False,82.3
2024-01-22,DynamoDB,us-west-2,36.35,False,False,36.38
2024-01-22,CloudFront,ap-southeast-1,29.36,False,False,28.19
2024-01-22,RDS,ap-southeast-1,91.02,False,False,83.94
2024-01-22,Elastic Beanstalk,us-west-2,58.81,True,False,56.71
2024-01-23,S3,us-west-2,59.16,True,False,57.45
2024-01-23,EC2,eu-west-1,77.15,False,False,73.14
2024-01-23,S3,ap-southeast-1,26.26,True,False,25.45
2024-01-24,Elastic Beanstalk,us-west-2,8.04,False,False,10.06
2024-01-24,DynamoDB,eu-west-1,28.37,True,False,37.8
2024-01-24,Elastic Beanstalk,ap-southeast-1,43.39,True,False,44.26
2024-01-24,DynamoDB,us-west-2,10.91,True,False,12.2
2024-01-24,DynamoDB,us-west-2,38.48,False,False,38.11
2024-01-24,Lambda,eu-west-1,50.83,False,False,41.24
2024-01-25,S3,eu-west-1,191.97,False,False,191.84
2024-01-25,EBS,eu-west-1,78.17,True,False,78.47
2024-01-25,CloudFront,us-west-2,27.7,True,False,40.02
2024-01-25,EBS,eu-west-1,108.1,False,False,107.14
2024-01-25,DynamoDB,ap-southeast-1,36.51,True,False,38.02
2024-01-25,Lambda,ap-southeast-1,13.2,True,True,13.03
2024-01-26,S3,us-west-2,65.13,True,False,59.29
2024-01-26,EBS,us-east-1,83.12,False,False,88.83
2024-01-26,RDS,eu-west-1,19.26,True,False,23.02
2024-01-26,CloudFront,us-east-1,112.45,False,False,116.41
2024-01-27,Elastic Beanstalk,ap-southeast-1,33.19,False,False,28.64
2024-01-27,EC2,ap-southeast-1,21.89,True,True,28.9
2024-01-27,DynamoDB,ap-southeast-1,29.22,False,False,22.21
2024-01-27,EBS,us-west-2,71.43,False,False,74.36
2024-01-27,S3,us-east-1,32.31,True,True,43.26
2024-01-27,RDS,us-east-1,58.11,True,False,53.16
2024-01-28,Elastic Beanstalk,eu-west-1,64.77,False,False,61.94
2024-01-28,DynamoDB,us-east-1,122.81,True,False,123.31
2024-01-28,RDS,eu-west-1,36.99,False,False,34.47
2024-01-28,DynamoDB,us-west-2,22.28,True,False,14.53
2024-01-29,EC2,ap-southeast-1,20.0,True,False,20.34
2024-01-29,S3,us-west-2,16.62,False,False,11.31
2024-01-29,EC2,us-west-2,22.47,True,True,24.84
2024-01-29,DynamoDB,us-west-2,23.95,False,False,19.35
2024-01-29,CloudFront,us-east-1,47.56,False,False,55.31
2024-01-30,DynamoDB,us-east-1,22.02,False,False,18.1
2024-01-30,DynamoDB,eu-west-1,19.27,True,False,17.66
2024-01-30,RDS,eu-west-1,18.0,True,False,22.07
2024-01-30,DynamoDB,us-east-1,63.76,False,False,57.61
2024-01-30,S3,ap-southeast-1,22.97,True,False,24.11
2024-01-30,CloudFront,us-east-1,4.25,True,False,10.79
2024-01-31,S3,eu-west-1,43.31,True,False,35.27
2024-01-31,RDS,eu-west-1,18.34,True,True,19.26
2024-01-31,EC2,ap-southeast-1,13.84,False,False,15.14
2024-02-01,CloudFront,us-west-2,15.13,True,False,19.04
2024-02-01,S3,us-west-2,75.35,True,False,69.17
2024-02-01,RDS,ap-southeast-1,25.22,False,False,18.62
2024-02-01,Elastic Beanstalk,us-east-1,36.87,False,False,39.48
2024-02-01,CloudFront,eu-west-1,19.04,False,False,20.52
2024-02-01,DynamoDB,eu-west-1,12.37,True,False,13.62
2024-02-02,Lambda,eu-west-1,23.99,False,False,25.72
2024-02-02,Lambda,us-east-1,72.31,False,False,68.91
2024-02-02,S3,us-east-1,23.77,True,False,24.93
2024-02-03,RDS,ap-southeast-1,32.06,True,False,33.53
2024-02-03,DynamoDB,ap-southeast-1,61.05,True,False,57.48
2024-02-03,Lambda,ap-southeast-1,111.85,False,False,121.18
2024-02-04,RDS,us-east-1,19.25,True,False,21.62
2024-02-04,Elastic Beanstalk,us-east-1,43.64,True,False,37.68
2024-02-04,CloudFront,eu-west-1,76.83,True,False,80.11
2024-02-04,EBS,us-east-1,46.36,False,False,41.49
2024-02-04,DynamoDB,ap-southeast-1,7.71,True,True,11.65
2024-02-05,Elastic Beanstalk,us-east-1,37.71,True,False,43.5
2024-02-05,CloudFront,eu-west-1,41.9,False,False,37.8
2024-02-05,Elastic Beanstalk,us-east-1,63.46,True,False,68.28
2024-02-06,CloudFront,ap-southeast-1,72.21,True,True,74.27
2024-02-06,EC2,ap-southeast-1,43.23,False,False,47.34
2024-02-06,DynamoDB,eu-west-1,75.6,False,False,85.08
2024-02-06,DynamoDB,ap-southeast-1,57.1,True,False,55.87
2024-02-06,RDS,us-west-2,18.24,True,False,14.47
2024-02-06,Lambda,us-west-2,43.27,False,False,38.82
2024-02-07,Elastic Beanstalk,us-east-1,53.82,False,False,49.74
2024-02-07,CloudFront,us-east-1,12.45,True,False,12.06
2024-02-07,Elastic Beanstalk,ap-southeast-1,14.07,True,True,15.78
2024-02-07,EBS,us-east-1,37.45,False,False,38.83
2024-02-07,EC2,us-east-1,33.54,False,False,37.68
2024-02-07,S3,us-west-2,17.57,True,False,17.64
2024-02-08,RDS,us-west-2,21.65,True,True,28.92
2024-02-08,EBS,us-west-2,54.86,False,False,53.54
2024-02-08,EBS,us-west-2,7.5,True,False,21.1
2024-02-09,S3,us-east-1,27.59,True,False,30.72
2024-02-09,S3,us-west-2,6.51,False,False,2.22
2024-02-09,EC2,us-east-1,13.25,True,True,7.9
2024-02-09,EC2,eu-west-1,44.61,True,False,47.02
2024-02-09,EC2,eu-west-1,40.89,True,False,39.77
2024-02-10,RDS,eu-west-1,35.03,True,False,38.6
2024-02-10,Elastic Beanstalk,us-west-2,37.53,False,False,39.9
2024-02-10,EBS,us-east-1,11.26,True,False,10.9
2024-02-10,Lambda,us-west-2,51.34,True,False,47.11
2024-02-10,EC2,ap-southeast-1,81.67,True,False,74.1
2024-02-11,CloudFront,ap-southeast-1,65.11,False,False,62.88
2024-02-11,DynamoDB,ap-southeast-1,18.57,True,False,22.85
2024-02-11,EBS,ap-southeast-1,16.48,False,False,17.55
2024-02-11,Elastic Beanstalk,us-west-2,19.55,True,True,13.32
2024-02-11,EC2,us-west-2,92.91,False,False,93.78
2024-02-11,S3,us-west-2,25.15,True,False,27.08
2024-02-12,Lambda,us-east-1,36.99,True,True,32.57
2024-02-12,Elastic Beanstalk,eu-west-1,125.83,False,False,126.6
2024-02-12,Lambda,ap-southeast-1,143.09,True,False,143.38
2024-02-12,RDS,eu-west-1,47.45,True,False,41.74
2024-02-12,DynamoDB,eu-west-1,33.09,True,False,34.88
2024-02-12,EC2,us-west-2,13.33,False,False,16.13
2024-02-13,DynamoDB,us-east-1,7.7,True,True,13.12
2024-02-13,EBS,eu-west-1,56.45,False,False,61.72
2024-02-13,Elastic Beanstalk,ap-southeast-1,50.16,True,False,43.27
2024-02-14,Elastic Beanstalk,eu-west-1,20.4,True,False,15.71
2024-02-14,EC2,us-west-2,16.51,True,False,19.09
2024-02-14,EBS,us-east-1,128.87,True,True,131.44
2024-02-14,EBS,us-east-1,70.2,False,False,72.78
2024-02-14,DynamoDB,eu-west-1,27.91,True,True,47.17
2024-02-14,CloudFront,us-west-2,46.97,False,False,49.82
2024-02-15,Lambda,us-west-2,40.32,True,False,46.0
2024-02-15,EBS,us-east-1,56.29,False,False,61.06
2024-02-15,S3,eu-west-1,47.73,False,False,50.99
2024-02-16,S3,ap-southeast-1,69.24,False,False,67.66
2024-02-16,RDS,ap-southeast-1,14.72,True,True,18.51
2024-02-16,RDS,eu-west-1,112.62,False,False,108.76
2024-02-16,S3,us-west-2,89.16,False,False,87.98
2024-02-16,DynamoDB,eu-west-1,11.56,False,False,9.13
2024-02-16,EBS,us-west-2,53.01,False,False,53.42
2024-02-17,S3,us-west-2,60.59,True,True,72.16
2024-02-17,RDS,eu-west-1,1.0,False,False,0.0
2024-02-17,RDS,us-east-1,1.66,True,False,5.09
2024-02-17,Elastic Beanstalk,ap-southeast-1,18.93,True,True,10.87
2024-02-17,DynamoDB,ap-southeast-1,63.07,False,False,60.71
2024-02-17,S3,us-west-2,38.85,False,False,44.29
2024-02-18,CloudFront,eu-west-1,79.92,True,False,80.24
2024-02-18,S3,us-west-2,63.71,False,False,58.32
2024-02-18,Lambda,us-west-2,34.21,False,False,30.63
2024-02-18,EC2,us-west-2,46.49,False,False,49.89
2024-02-18,Elastic Beanstalk,eu-west-1,7.18,True,False,3.53
2024-02-19,Elastic Beanstalk,eu-west-1,33.03,True,True,34.11
2024-02-19,EBS,us-west-2,28.97,False,False,29.2
2024-02-19,EBS,us-west-2,73.87,False,False,70.61
2024-02-19,Elastic Beanstalk,ap-southeast-1,40.24,False,False,50.96
2024-02-20,DynamoDB,ap-southeast-1,181.55,False,False,184.72
2024-02-20,RDS,us-west-2,14.65,False,False,4.52
2024-02-20,RDS,us-east-1,19.54,False,False,20.47
2024-02-20,CloudFront,us-east-1,47.24,True,False,43.93
2024-02-20,S3,us-west-2,32.89,True,False,37.15
2024-02-21,CloudFront,eu-west-1,120.49,False,False,116.53
2024-02-21,S3,us-east-1,53.76,False,False,53.19
2024-02-21,Elastic Beanstalk,us-west-2,13.7,False,False,16.22
2024-02-21,CloudFront,ap-southeast-1,20.75,True,False,25.08
2024-02-21,DynamoDB,us-west-2,33.38,False,False,27.38
2024-02-21,EC2,us-west-2,21.51,True,False,19.84
2024-02-22,EC2,us-west-2,180.76,False,False,178.39
2024-02-22,DynamoDB,ap-southeast-1,71.35,False,False,68.08
2024-02-22,DynamoDB,us-east-1,97.42,False,False,106.25
2024-02-22,RDS,us-west-2,32.87,False,False,34.89
2024-02-22,Lambda,eu-west-1,14.58,False,False,8.28
2024-02-23,DynamoDB,eu-west-1,24.91,False,False,29.5
2024-02-23,EC2,us-west-2,70.31,False,False,80.92
2024-02-23,DynamoDB,ap-southeast-1,52.81,True,True,57.97
2024-02-23,CloudFront,us-east-1,48.32,False,False,40.72
2024-02-23,DynamoDB,us-east-1,7.8,True,False,5.38
2024-02-24,Elastic Beanstalk,us-west-2,17.79,True,False,24.12
2024-02-24,RDS,eu-west-1,13.34,False,False,9.8
2024-02-24,Lambda,ap-southeast-1,26.03,False,False,28.25
2024-02-24,S3,us-east-1,11.38,False,False,15.25
2024-02-25,CloudFront,ap-southeast-1,143.77,True,True,139.14
2024-02-25,CloudFront,ap-southeast-1,30.3,False,False,30.0
2024-02-25,S3,us-east-1,20.13,True,False,3.92
2024-02-25,Elastic Beanstalk,eu-west-1,58.63,True,False,53.51
2024-02-25,Lambda,us-west-2,56.28,False,False,55.02
2024-02-26,CloudFront,us-west-2,37.35,False,False,31.11
2024-02-26,EC2,ap-southeast-1,54.22,False,False,62.38
2024-02-26,EC2,us-east-1,88.63,True,False,81.48
2024-02-27,Elastic Beanstalk,eu-west-1,13.95,False,False,11.75
2024-02-27,CloudFront,us-east-1,56.42,False,False,57.07
2024-02-27,DynamoDB,us-west-2,39.37,False,False,46.58
2024-02-27,Lambda,us-west-2,103.77,False,False,96.59
2024-02-27,CloudFront,ap-southeast-1,40.78,False,False,46.6
2024-02-28,S3,us-east-1,60.71,False,False,60.76
2024-02-28,Elastic Beanstalk,ap-southeast-1,26.55,True,False,21.64
2024-02-28,CloudFront,eu-west-1,6.43,True,False,8.74
2024-02-28,Lambda,us-west-2,25.66,True,True,26.66
2024-02-28,Elastic Beanstalk,ap-southeast-1,34.61,False,False,31.61
2024-02-29,EC2,us-east-1,22.25,True,False,22.6
2024-02-29,S3,us-west-2,16.72,True,True,14.79
2024-02-29,EBS,us-west-2,38.09,False,False,38.66
2024-03-01,Lambda,eu-west-1,51.34,False,False,54.65
2024-03-01,Elastic Beanstalk,ap-southeast-1,10.07,False,False,18.0
2024-03-01,CloudFront,eu-west-1,47.74,False,False,41.55
2024-03-01,RDS,us-west-2,18.71,True,False,29.38
2024-03-01,EBS,us-west-2,78.22,False,False,68.46
2024-03-01,RDS,ap-southeast-1,32.7,False,False,31.94
2024-03-02,Elastic Beanstalk,us-west-2,20.7,False,False,23.64
2024-03-02,CloudFront,us-west-2,33.35,False,False,34.75
2024-03-02,DynamoDB,us-west-2,126.06,False,False,122.95
2024-03-02,Elastic Beanstalk,eu-west-1,13.29,True,False,12.25
2024-03-02,S3,us-east-1,31.21,False,False,28.74
2024-03-03,Elastic Beanstalk,eu-west-1,28.1,True,True,25.15
2024-03-03,CloudFront,us-east-1,41.13,False,False,45.38
2024-03-03,DynamoDB,us-east-1,110.25,False,False,112.04
2024-03-03,Lambda,us-west-2,10.35,True,False,6.89
2024-03-03,EC2,us-west-2,19.2,False,False,23.7
2024-03-04,Lambda,us-east-1,46.53,True,True,48.07
2024-03-04,EBS,eu-west-1,41.71,True,True,45.77
2024-03-04,DynamoDB,us-east-1,25.16,True,True,28.31
2024-03-05,EBS,us-east-1,44.91,False,False,40.77
2024-03-05,EBS,us-west-2,55.89,True,False,53.09
2024-03-05,RDS,eu-west-1,52.39,True,False,56.13
2024-03-05,S3,eu-west-1,77.09,True,True,80.14
2024-03-05,RDS,eu-west-1,10.28,True,True,10.18
2024-03-05,DynamoDB,ap-southeast-1,13.11,True,False,13.7
2024-03-06,DynamoDB,us-west-2,35.32,False,False,41.71
2024-03-06,DynamoDB,eu-west-1,54.43,False,False,51.47
2024-03-06,EBS,us-west-2,48.46,False,False,51.2
2024-03-06,RDS,eu-west-1,125.7,False,False,124.69
2024-03-06,CloudFront,ap-southeast-1,72.37,True,True,71.28
2024-03-06,EBS,us-west-2,21.9,False,False,27.39
2024-03-07,EC2,us-west-2,21.56,True,False,25.69
2024-03-07,EC2,us-west-2,4.49,True,True,8.56
2024-03-07,CloudFront,us-east-1,48.94,False,False,55.47
2024-03-07,DynamoDB,eu-west-1,24.79,False,False,24.9
2024-03-08,DynamoDB,us-east-1,28.99,True,True,32.4
2024-03-08,Lambda,eu-west-1,14.35,True,False,12.8
2024-03-08,EBS,us-east-1,24.95,False,False,26.57
2024-03-08,Lambda,eu-west-1,83.84,True,True,83.19
2024-03-09,EBS,ap-southeast-1,29.45,False,False,29.93
2024-03-09,EC2,ap-southeast-1,25.08,False,False,28.06
2024-03-09,Lambda,us-east-1,6.66,False,False,2.57
2024-03-09,S3,eu-west-1,34.11,False,False,44.57
2024-03-10,EC2,eu-west-1,32.57,False,False,27.54
2024-03-10,Lambda,us-west-2,138.8,False,False,132.73
2024-03-10,EBS,ap-southeast-1,24.44,True,False,30.23
2024-03-10,Lambda,eu-west-1,33.92,True,False,37.88
2024-03-10,CloudFront,eu-west-1,53.22,True,False,56.34
2024-03-11,S3,ap-southeast-1,31.29,True,True,34.43
2024-03-11,Lambda,us-west-2,36.64,True,False,36.58
2024-03-11,EBS,us-west-2,49.48,True,False,44.99
2024-03-11,Elastic Beanstalk,us-east-1,29.07,True,True,29.45
2024-03-12,Elastic Beanstalk,us-west-2,4.4,False,False,1.01
2024-03-12,DynamoDB,ap-southeast-1,21.58,True,False,26.46
2024-03-12,DynamoDB,us-west-2,76.3,False,False,75.56
2024-03-12,EC2,eu-west-1,29.96,False,False,25.83
2024-03-12,DynamoDB,us-east-1,39.88,False,False,38.27
2024-03-13,Lambda,ap-southeast-1,124.9,True,False,126.96
2024-03-13,DynamoDB,ap-southeast-1,61.3,False,False,58.48
2024-03-13,Elastic Beanstalk,eu-west-1,58.28,False,False,54.17
2024-03-13,CloudFront,us-east-1,85.68,False,False,86.9
2024-03-13,EBS,us-east-1,148.15,False,False,149.37
2024-03-14,EC2,eu-west-1,3.71,True,True,1.18
2024-03-14,S3,eu-west-1,67.28,False,False,64.92
2024-03-14,S3,us-east-1,21.0,True,True,22.16
2024-03-14,RDS,eu-west-1,17.87,True,True,10.63
2024-03-14,CloudFront,ap-southeast-1,55.85,True,False,48.81
2024-03-14,DynamoDB,us-east-1,94.22,False,False,90.63
2024-03-15,Lambda,us-west-2,4.31,True,False,3.24
2024-03-15,Lambda,eu-west-1,53.35,False,False,54.9
2024-03-15,EC2,us-west-2,39.53,False,False,46.91
2024-03-15,Lambda,us-west-2,10.57,False,False,14.86
2024-03-15,DynamoDB,eu-west-1,17.14,True,True,16.34
2024-03-16,DynamoDB,us-east-1,67.51,False,False,67.41
2024-03-16,EBS,ap-southeast-1,62.55,False,False,57.54
2024-03-16,Elastic Beanstalk,us-west-2,39.54,False,False,39.45
2024-03-16,EBS,us-west-2,11.19,False,False,9.75
2024-03-17,RDS,us-west-2,15.91,False,False,17.52
2024-03-17,EBS,ap-southeast-1,5.31,False,False,1.17
2024-03-17,RDS,ap-southeast-1,12.77,False,False,15.37
2024-03-18,EC2,us-east-1,36.21,False,False,43.87
2024-03-18,S3,us-west-2,7.27,False,False,6.73
2024-03-18,S3,us-west-2,20.22,True,False,22.23
2024-03-18,Lambda,us-east-1,43.15,True,False,46.6
2024-03-19,S3,ap-southeast-1,28.1,True,True,26.09
2024-03-19,RDS,eu-west-1,68.92,True,False,70.04
2024-03-19,DynamoDB,us-east-1,50.27,True,True,50.33
2024-03-20,Lambda,ap-southeast-1,44.43,False,False,44.92
2024-03-20,S3,ap-southeast-1,22.65,True,True,18.78
2024-03-20,Elastic Beanstalk,us-west-2,23.88,True,True,24.0
2024-03-20,EBS,eu-west-1,6.9,False,False,9.39
2024-03-20,Elastic Beanstalk,us-east-1,65.3,True,False,72.56
2024-03-20,DynamoDB,us-west-2,39.66,True,True,44.46
2024-03-21,DynamoDB,us-east-1,3.88,False,False,14.65
2024-03-21,Elastic Beanstalk,ap-southeast-1,2.06,True,True,0.0
2024-03-21,EC2,us-west-2,111.47,True,True,115.83
2024-03-21,CloudFront,us-east-1,23.81,True,False,24.73
2024-03-21,DynamoDB,ap-southeast-1,65.64,False,False,76.59
2024-03-21,EC2,us-east-1,122.15,False,False,118.11
2024-03-22,Elastic Beanstalk,ap-southeast-1,18.2,True,True,14.0
2024-03-22,EC2,us-west-2,51.24,False,False,48.24
2024-03-22,Elastic Beanstalk,us-east-1,75.64,False,False,65.02
2024-03-23,EBS,us-west-2,15.14,False,False,12.51
2024-03-23,Lambda,us-east-1,16.78,False,False,12.98
2024-03-23,RDS,us-west-2,33.78,False,False,34.53
2024-03-23,Elastic Beanstalk,us-east-1,21.39,True,False,23.1
2024-03-23,EC2,us-west-2,26.77,True,False,36.15
2024-03-23,S3,us-west-2,56.04,True,True,60.79
2024-03-24,S3,us-west-2,19.06,True,False,16.18
2024-03-24,EBS,eu-west-1,81.89,True,True,77.4
2024-03-24,Elastic Beanstalk,eu-west-1,31.69,True,False,34.15
2024-03-24,CloudFront,us-east-1,48.58,False,False,41.98
2024-03-24,S3,us-west-2,25.89,False,False,35.05
2024-03-25,CloudFront,eu-west-1,31.49,False,False,37.39
2024-03-25,RDS,ap-southeast-1,37.27,True,False,34.92
2024-03-25,S3,us-east-1,3.78,True,True,0.0
2024-03-25,DynamoDB,eu-west-1,59.54,False,False,66.31
2024-03-26,RDS,eu-west-1,24.77,False,False,24.2
2024-03-26,S3,us-west-2,23.1,True,True,29.29
2024-03-26,S3,eu-west-1,24.56,True,False,16.59
2024-03-26,RDS,us-west-2,48.28,True,False,45.28
2024-03-26,EC2,us-east-1,87.13,False,False,87.16
2024-03-26,RDS,us-west-2,166.11,True,False,166.34
2024-03-27,DynamoDB,ap-southeast-1,20.14,True,False,17.89
2024-03-27,RDS,us-west-2,42.42,False,False,45.53
2024-03-27,S3,us-east-1,14.02,True,False,8.68
2024-03-27,EC2,us-west-2,10.98,False,False,10.27
2024-03-28,Lambda,us-east-1,13.26,True,False,13.86
2024-03-28,EBS,ap-southeast-1,34.75,True,False,37.32
2024-03-28,CloudFront,eu-west-1,66.97,True,True,70.53
2024-03-28,DynamoDB,us-east-1,22.93,False,False,17.31
2024-03-28,CloudFront,ap-southeast-1,46.77,True,True,39.1
2024-03-29,Lambda,us-east-1,62.71,False,False,69.1
2024-03-29,RDS,eu-west-1,46.06,True,False,47.72
2024-03-29,EC2,us-east-1,156.53,True,False,152.79
2024-03-29,EC2,ap-southeast-1,83.46,True,False,91.22
2024-03-30,RDS,eu-west-1,34.56,True,False,35.14
2024-03-30,DynamoDB,us-west-2,29.95,False,False,35.85
2024-03-30,RDS,us-west-2,57.56,False,False,57.9
2024-03-31,EBS,ap-southeast-1,76.86,True,False,87.16
2024-03-31,Lambda,us-east-1,63.23,True,False,72.01
2024-03-31,EC2,us-west-2,41.03,False,False,39.79
2024-03-31,EBS,ap-southeast-1,44.35,False,False,49.21
2024-03-31,CloudFront,us-west-2,3.41,False,False,6.64
2024-04-01,Lambda,eu-west-1,29.86,False,False,36.7
2024-04-01,S3,us-east-1,26.99,False,False,22.17
2024-04-01,CloudFront,us-east-1,21.74,False,False,25.17
2024-04-01,DynamoDB,us-east-1,48.38,False,False,53.67
2024-04-02,Lambda,ap-southeast-1,45.08,False,False,36.29
2024-04-02,Elastic Beanstalk,us-east-1,6.85,False,False,0.93
2024-04-02,CloudFront,ap-southeast-1,16.87,True,False,6.67
2024-04-03,EBS,us-west-2,51.06,True,False,49.71
2024-04-03,EBS,us-west-2,20.39,False,False,23.98
2024-04-03,EC2,us-west-2,52.6,True,False,60.11
2024-04-04,Elastic Beanstalk,us-west-2,77.27,False,False,77.64
2024-04-04,EBS,eu-west-1,42.3,True,False,50.44
2024-04-04,Elastic Beanstalk,eu-west-1,21.02,False,False,14.12
2024-04-04,CloudFront,us-east-1,49.02,True,True,40.5
2024-04-05,Lambda,us-west-2,10.72,True,True,10.44
2024-04-05,EBS,us-east-1,20.51,True,True,22.43
