Date,Campaign,Channel,TotalUsers,ConvertedUsers
2025-06-09,Fall Promo,Affiliate,109,12
2025-02-24,Holiday Push,Affiliate,157,7
2025-02-25,Q1 Launch,Paid Search,54,5
2025-04-17,Q1 Launch,Email,152,9
2025-02-05,Fall Promo,Direct,245,41
2024-11-08,Fall Promo,Social Media,311,34
2025-02-06,Holiday Push,Social Media,414,30
2025-06-24,Spring Sale,Affiliate,421,34
2025-02-28,Holiday Push,Paid Search,399,41
2025-01-07,Fall Promo,Social Media,96,8
2025-06-20,Holiday Push,Email,404,50
2025-06-09,Fall Promo,Affiliate,360,10
2025-02-21,Holiday Push,Direct,473,40
2025-01-20,Fall Promo,Affiliate,357,41
2024-11-29,Fall Promo,Direct,193,31
2024-10-02,Fall Promo,Affiliate,318,26
